rep,psi,cond,model,corr,lr,conv
0,0.0,none,Baseline,-0.02940629368699736,0.2249320186288788,True
0,0.0,none,CLF,-0.06751558589738095,0.3197370265106656,True
0,0.0,none,FAMF,-0.02951552260314799,0.22519243323447746,True
1,0.0,none,Baseline,0.0024747378864574156,0.0011293110335870438,True
1,0.0,none,CLF,0.00214221090932391,0.001143232063643751,True
1,0.0,none,FAMF,0.011998488049961405,0.03497970110195148,True
2,0.0,none,Baseline,-0.0794805793146914,1.6173447811724913,True
2,0.0,none,CLF,-0.07952681788163413,1.6188305564456602,True
2,0.0,none,FAMF,-0.07948834060339889,1.6179033861466667,True
3,0.0,none,Baseline,0.009295305742158835,0.02135865971772155,True
3,0.0,none,CLF,0.009290713460580594,0.02259157838198611,True
3,0.0,none,FAMF,0.012517687075103302,0.03946165925308698,True
4,0.0,none,Baseline,-0.13612108710381243,4.807191601616637,True
4,0.0,none,CLF,-0.21813863959691834,5.2825479662476145,True
4,0.0,none,FAMF,-0.12939557227849297,4.2295212115423055,True
5,0.0,none,Baseline,0.053836422964448696,0.7754080448472838,True
5,0.0,none,CLF,0.053712416838819534,0.7564598523513606,True
5,0.0,none,FAMF,0.053800878903993175,0.776436871015056,True
6,0.0,none,Baseline,-0.029230665172713426,0.22405700954306873,True
6,0.0,none,CLF,-0.029301519304580022,0.2240635863740632,True
6,0.0,none,FAMF,-0.015902893911913747,0.06092930752904735,True
7,0.0,none,Baseline,0.02521390926614037,0.16436510185504716,True
7,0.0,none,CLF,-0.09032522940091856,0.3378566736057671,True
7,0.0,none,FAMF,0.02531101822706479,0.1651923579106125,True
8,0.0,none,Baseline,-0.02990875842894475,0.22784363638547056,True
8,0.0,none,CLF,-0.2274335992540466,4.001952185316419,True
8,0.0,none,FAMF,-0.016224104811860547,0.06431244590535279,True
9,0.0,none,Baseline,-0.06580049985083801,1.128112685079378,True
9,0.0,none,CLF,-0.0651893587311323,1.1281714305227375,True
